Time[s], RH_HIH[%],  T_HIH[degC] 
14:53:25.414 -> , 39.77,21.88
14:53:35.471 -> , 38.40,21.66
14:53:45.470 -> , 43.77,21.51
14:53:55.481 -> , 40.45,21.41
14:54:05.535 -> , 41.63,21.31
14:54:15.545 -> , 42.90,21.31
14:54:25.596 -> , 45.56,21.35
14:54:35.605 -> , 43.65,21.34
14:54:45.657 -> , 44.17,21.38
14:54:55.665 -> , 40.60,21.37
14:55:05.676 -> , 41.02,21.34
14:55:15.728 -> , 41.43,21.34
14:55:25.740 -> , 43.14,21.35
14:55:35.749 -> , 42.02,21.34
14:55:45.793 -> , 40.41,21.42
14:55:55.807 -> , 36.28,21.22
14:56:05.821 -> , 36.47,21.12
14:56:15.872 -> , 34.72,21.18
14:56:25.882 -> , 37.67,21.24
14:56:35.927 -> , 43.36,21.20
14:56:45.930 -> , 45.85,21.26
14:56:55.984 -> , 45.78,21.27
14:57:06.001 -> , 45.87,21.30
14:57:16.008 -> , 46.07,21.34
14:57:26.064 -> , 43.68,21.41
14:57:36.075 -> , 43.92,21.45
14:57:46.082 -> , 44.34,21.50
14:57:56.140 -> , 43.56,21.43
14:58:06.152 -> , 42.80,21.38
14:58:16.230 -> , 44.29,21.35
14:58:26.261 -> , 44.85,21.35
14:58:36.288 -> , 44.46,21.33
14:58:46.361 -> , 38.04,21.31
14:58:56.375 -> , 39.38,21.38
14:59:06.447 -> , 41.11,21.39
14:59:16.476 -> , 37.84,21.41
14:59:26.551 -> , 40.70,21.43
14:59:36.579 -> , 42.94,21.41
14:59:46.641 -> , 38.65,21.39
14:59:56.672 -> , 40.23,21.35
15:00:06.699 -> , 42.46,21.35
15:00:16.768 -> , 42.16,21.34
15:00:26.790 -> , 41.85,21.34
15:00:36.859 -> , 42.02,21.35
15:00:46.916 -> , 40.58,21.34
15:00:56.952 -> , 38.13,21.31
15:01:06.993 -> , 38.94,21.29
15:01:17.039 -> , 36.91,21.27
15:01:27.071 -> , 35.81,21.22
15:01:37.132 -> , 37.21,21.22
15:01:47.171 -> , 40.09,21.19
15:01:57.223 -> , 40.31,21.22
15:02:07.272 -> , 40.99,21.26
15:02:17.306 -> , 41.24,21.27
15:02:27.376 -> , 41.11,21.26
15:02:37.403 -> , 40.09,21.29
15:02:47.469 -> , 38.53,21.29
15:02:57.501 -> , 39.48,21.27
15:03:07.542 -> , 40.31,21.27
15:03:17.573 -> , 40.23,21.29
15:03:27.627 -> , 40.04,21.23
15:03:37.680 -> , 39.70,21.22
15:03:47.744 -> , 38.70,21.22
15:03:57.778 -> , 39.72,21.24
15:04:07.810 -> , 39.92,21.24
15:04:17.883 -> , 38.06,21.23
15:04:27.938 -> , 39.62,21.22
15:04:37.967 -> , 39.38,21.26
15:04:47.993 -> , 39.62,21.23
15:04:58.044 -> , 37.91,21.24
15:05:08.081 -> , 39.26,21.24
15:05:18.160 -> , 38.70,21.24
15:05:28.218 -> , 37.50,21.26
15:05:38.253 -> , 38.16,21.27
15:05:48.278 -> , 37.72,21.29
15:05:58.347 -> , 38.06,21.27
15:06:08.387 -> , 36.08,21.27
15:06:18.427 -> , 34.67,21.22
15:06:28.458 -> , 36.72,21.20
15:06:38.548 -> , 36.01,21.23
15:06:48.573 -> , 37.89,21.27
15:06:58.643 -> , 38.18,21.23
15:07:08.655 -> , 38.74,21.22
15:07:18.733 -> , 38.43,21.23
15:07:28.764 -> , 35.45,21.22
15:07:38.799 -> , 34.86,21.18
15:07:48.866 -> , 36.35,21.18
15:07:58.897 -> , 36.84,21.20
15:08:08.953 -> , 37.82,21.19
15:08:18.987 -> , 37.65,21.22
15:08:29.058 -> , 36.99,21.24
15:08:39.085 -> , 36.23,21.23
15:08:49.154 -> , 36.55,21.23
15:08:59.202 -> , 37.89,21.26
15:09:09.222 -> , 37.01,21.24
15:09:19.284 -> , 37.69,21.26
15:09:29.346 -> , 37.89,21.27
15:09:39.367 -> , 37.87,21.26
15:09:49.414 -> , 36.69,21.27
15:09:59.467 -> , 37.45,21.26
15:10:09.512 -> , 37.40,21.23
15:10:19.570 -> , 37.45,21.22
15:10:29.593 -> , 36.77,21.23
15:10:39.671 -> , 37.33,21.24
15:10:49.682 -> , 37.18,21.26
15:10:59.732 -> , 36.55,21.26
15:11:09.808 -> , 36.64,21.26
15:11:19.835 -> , 35.47,21.26
15:11:29.860 -> , 36.99,21.24
15:11:39.948 -> , 36.86,21.22
15:11:49.969 -> , 36.35,21.19
15:12:00.002 -> , 36.86,21.19
15:12:10.077 -> , 36.99,21.19
15:12:20.100 -> , 35.99,21.20
15:12:30.155 -> , 35.47,21.20
15:12:40.210 -> , 36.23,21.19
15:12:50.247 -> , 36.45,21.18
15:13:00.282 -> , 36.64,21.18
15:13:10.339 -> , 36.28,21.18
15:13:20.390 -> , 35.96,21.16
15:13:30.440 -> , 36.72,21.19
15:13:40.489 -> , 36.18,21.18
15:13:50.517 -> , 36.23,21.20
15:14:00.570 -> , 35.81,21.33
15:14:10.628 -> , 49.42,21.75
15:14:20.680 -> , 43.70,21.89
15:21:15.270 -> , 32.30,24.17
15:21:25.315 -> , 29.54,24.07
15:21:35.368 -> , 31.20,23.89
15:21:45.386 -> , 32.40,23.83
15:21:55.425 -> , 35.74,23.88
15:22:05.506 -> , 30.88,23.83
15:22:15.545 -> , 35.77,23.88
15:22:25.561 -> , 35.79,24.02
15:22:35.617 -> , 37.89,24.07
15:22:45.665 -> , 39.48,24.13
15:22:55.722 -> , 37.16,24.14
15:23:05.778 -> , 36.77,24.17
15:23:15.822 -> , 38.18,24.17
15:23:25.875 -> , 38.67,24.16
15:23:35.929 -> , 32.93,23.87
15:23:45.937 -> , 33.74,23.71
15:23:56.023 -> , 31.20,23.62
15:24:06.052 -> , 36.03,23.58
15:24:16.098 -> , 34.08,23.48
15:24:26.145 -> , 33.47,23.36
